SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,X72964_at,X99350_rna1_at,U85611_at,X76105_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,U39817_at,M57466_s_at,M63623_at,U20350_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U45955_at,D16481_at,X04828_at,U07802_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,HG4115-HT4385_at,L42563_at,Z34975_at,Z80788_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at,Y07604_at,X05130_s_at,AJ001421_at,D45248_at
47,37,86,20,22,20,40,147,41,101,20,146,93,20,20,20,204,194,20,20,20,20,49,20,64,140,607,452,151,198,64,316,158,254,126,287,247,26,20,138,20,69,236,42,167,119,46,135,20,951,88,721,189,115,154,305,46,465,588,319,355
48,102,20,35,20,20,181,20,25,82,20,95,85,20,20,20,322,20,20,20,20,20,20,20,28,143,108,275,116,280,102,534,138,305,200,127,111,20,20,157,20,122,180,45,213,139,50,151,21,1610,149,1132,209,238,451,461,162,506,894,391,230
49,49,83,20,26,20,195,20,88,96,33,133,72,20,20,20,20,20,20,20,20,20,60,20,20,144,211,395,142,173,109,59,114,83,222,146,96,43,20,144,35,77,219,46,214,111,49,146,20,1534,108,924,166,236,417,516,54,600,740,323,412
50,49,20,22,37,20,20,20,93,152,20,31,57,20,20,20,20,20,20,20,20,20,56,20,20,90,455,508,256,120,132,92,164,20,151,30,155,25,20,164,20,60,322,35,111,153,33,128,20,818,74,881,174,232,20,160,20,630,311,186,394
51,30,24,20,20,20,23,20,54,139,20,66,76,20,20,26,20,20,20,20,20,20,29,20,20,254,261,515,143,106,110,60,91,20,147,225,58,20,20,116,26,81,279,38,98,159,42,155,20,2096,112,754,279,133,448,283,62,723,631,311,384
52,83,72,34,39,30,112,77,156,198,20,150,101,20,20,60,120,20,20,20,20,21,20,20,20,229,54,404,180,168,75,180,138,56,234,197,190,20,20,93,20,65,152,27,118,114,25,136,20,1019,122,1029,171,99,290,192,121,549,498,234,429
53,23,292,20,26,30,240,20,186,141,30,310,134,33,22,20,158,20,26,20,20,20,20,20,20,97,71,187,166,100,56,122,46,22,116,609,265,20,22,94,50,166,238,49,124,175,64,135,20,1717,174,739,38,86,197,235,108,315,740,183,284
54,184,462,83,182,27,443,297,221,1564,281,323,206,20,20,20,20,20,20,21,20,20,77,20,25,231,75,263,167,437,71,217,108,726,185,291,224,31,20,143,37,128,283,30,133,157,115,178,41,196,24,154,20,29,20,65,20,150,230,128,189
55,158,952,85,223,41,440,207,163,1781,458,388,154,25,20,20,20,33,36,20,20,20,45,20,38,157,46,226,142,212,92,210,73,960,173,167,170,27,20,107,28,91,238,36,127,122,75,159,21,125,20,73,20,25,20,59,20,68,124,80,249
56,176,621,155,183,37,639,370,233,1038,268,304,298,20,20,20,29,62,20,20,20,20,127,20,86,203,114,288,165,512,76,252,102,876,244,494,207,29,21,108,31,104,190,34,119,86,89,171,26,337,32,416,38,58,75,158,22,173,376,166,243
57,93,480,82,82,39,182,336,85,373,58,143,206,20,20,22,83,23,20,20,20,20,61,20,38,199,191,428,188,319,114,298,72,202,175,135,205,20,20,120,20,67,213,35,151,95,38,109,20,526,74,605,40,94,51,159,20,310,411,230,274
58,74,172,66,56,47,156,162,86,236,38,96,171,20,20,20,62,27,20,20,20,20,20,20,20,180,434,608,209,205,129,440,98,175,150,135,251,22,20,100,20,50,191,35,137,72,38,115,20,441,108,458,57,52,97,149,20,360,351,119,210
59,148,141,89,77,26,632,255,204,461,112,231,243,20,20,20,20,26,20,20,20,20,20,20,52,198,155,381,191,348,87,282,25,789,224,120,304,20,20,170,20,87,296,35,151,159,87,144,25,239,61,120,20,20,20,84,20,268,153,66,339
60,112,260,20,66,54,384,63,491,492,156,331,183,22,20,20,257,24,20,20,20,20,111,20,50,94,176,193,138,101,63,230,80,353,141,273,168,26,21,100,23,104,251,31,102,117,37,132,20,975,113,306,22,74,138,263,31,179,471,131,163
61,103,395,180,152,20,470,80,136,740,225,219,164,26,20,31,285,114,49,99,20,89,174,108,136,184,323,329,217,183,112,491,69,815,260,412,238,20,20,129,20,88,251,38,165,112,89,143,57,297,43,237,48,56,23,121,20,154,350,166,154
62,137,503,166,82,26,350,323,520,582,25,340,121,20,20,20,341,141,20,20,20,20,90,20,20,220,49,226,141,264,130,407,97,982,251,304,266,20,20,96,20,84,203,36,148,95,41,143,20,227,23,353,97,57,86,117,44,229,404,192,96
63,56,510,43,60,36,263,150,322,358,109,225,205,44,34,20,381,89,62,30,28,20,173,23,156,144,320,287,170,287,95,395,103,633,176,454,308,24,20,94,20,101,173,31,94,104,49,115,20,645,59,580,60,109,177,201,80,157,524,232,248
64,39,95,33,29,20,165,81,86,188,20,95,132,155,128,261,924,329,169,564,95,125,458,333,541,201,335,301,221,202,87,375,46,777,263,387,331,35,20,111,31,127,303,39,193,133,90,158,41,157,20,375,45,94,20,121,20,184,285,145,235
65,39,148,74,27,20,275,211,95,241,20,118,118,92,63,175,1499,365,181,512,138,99,432,436,277,195,352,343,240,333,89,395,34,931,268,430,275,32,20,127,46,135,297,39,176,130,121,184,47,123,27,246,41,91,28,96,28,184,320,123,181
66,37,184,39,33,20,294,182,107,251,28,136,101,118,73,153,923,331,163,576,94,82,569,378,341,177,329,277,199,265,74,396,43,1026,231,351,283,44,21,132,27,142,269,42,185,133,105,167,35,144,20,257,41,100,47,105,34,154,302,102,160
67,39,147,20,25,20,178,84,76,240,20,162,117,115,102,192,1358,396,138,689,62,123,577,303,450,199,313,256,243,271,66,286,38,889,254,397,322,32,23,101,25,98,233,39,173,139,154,161,54,166,37,292,24,85,29,102,20,200,325,168,193
68,41,147,21,28,20,190,76,94,263,20,126,92,102,94,185,1081,314,120,342,158,103,286,269,586,190,287,271,237,240,80,522,51,792,232,394,278,30,20,125,22,139,296,48,180,145,127,155,46,149,20,259,20,70,20,113,20,195,259,136,163
69,45,160,26,21,20,297,179,64,196,23,171,83,119,92,121,1120,293,221,394,179,77,423,159,319,203,269,228,209,229,78,374,54,929,287,375,434,34,20,124,59,152,329,54,139,147,172,150,33,121,20,263,35,73,20,79,33,187,249,82,167
EPD_T,12.711130572248482,11.80371653941342,10.489253069217572,10.232887293010236,9.520901997654287,9.391944471090882,9.19197124472467,9.016083564117968,8.862460894634705,8.772087740016124,8.635820395422977,8.484738639193214,0.7052301650249635,0.8136963924219928,1.1776218571622117,0.13529835108338048,0.19854418282876704,0.7205008362544325,1.1284844732132036,0.8895345630080268,0.16395985755400255,0.23308726479741887,0.976558516170905,0.24161109145882464,4.088469555026475,4.044659480841546,2.9363575028704476,4.191485247613384,5.932262248147884,3.121023560810498,4.75945704619407,2.9517924193413743,4.271071441475787,4.149547552568967,3.506183511410061,4.237451343826005,1.5878959884772263,1.1468348338125554,2.8225580342096848,1.3722982804178536,1.2479660407417412,2.5088039555910866,3.6379171679783044,1.7011007409773342,3.422084898172186,1.1192907173771942,1.357664628292389,1.5203031037677024,0.3427708492943491,1.8874575597964833,0.6883000132950851,0.6486967046390624,0.2811774589556673,0.12698196894181735,0.7822256386043607,0.18542837170059348,0.5767222126030321,1.223653706180885,1.747399875235335,2.5911536891690417
JPA_T,0.21974045021354652,0.6237465619678247,0.1903553850663686,1.0374672893997634,1.1248887234138831,1.8492138083157612,2.0138474700494755,0.4142741893289623,0.11064260488776065,0.7929302819739054,0.7110977856934222,1.0054305504914087,30.130451047298486,25.985897061072464,23.931442475208197,22.48353088514614,21.254929836894803,20.87737082139587,20.243179577399285,19.35373315905284,18.832833585900374,18.668775249935887,18.626385909589743,17.82334543209028,3.5558885269105738,1.9093108049541476,2.627466707182572,5.708827205459118,3.159949367858882,3.100141990738162,5.021527749425064,3.024784980389855,5.684762740097181,5.581969279060738,5.022707999722736,6.390925963304033,0.12614366985465747,0.5520182190723057,1.9079530745942421,0.5536322720022162,1.0895163852126348,0.2852561211965089,1.3122310781736568,0.7209076024442439,1.2773617541268174,2.729496652319285,0.33964317932475235,1.231504480216411,1.3337073642754407,0.9576965498623948,0.04175875054794519,0.8620720215740634,1.7129541175321388,1.0465470288771388,0.430253825715343,0.25854164052848855,0.7969791571088326,0.15914100441942228,0.49748830257753796,1.048156115078912
MED_T,5.326990759530301,5.1711242607339996,4.021576026877472,3.5077528090220143,3.237231986982671,7.416115880282749,4.703283808233178,4.724430005940995,3.236050531173461,3.245171871708608,6.025194483542132,3.885296962447843,3.174608639998446,3.0510650130442882,3.02626610710583,4.602915563327322,4.571796333593478,2.9641189051311234,3.16559365282202,2.8494537268340174,3.300838375864983,4.028579839928265,3.953883817252742,4.312830871143822,10.976900168041919,10.791074972558896,10.455894927511723,10.42174310254906,9.91990075435085,9.582955538720874,9.550868743062102,9.19959313379415,9.120909636865301,9.058108088428831,8.973544064062102,8.920844097747032,2.6164075284428194,2.441858856054896,0.2521024775457353,2.772872996653187,2.9591239469041275,0.947073959827154,0.6462160449193475,2.5913452461028053,0.22973945099776968,3.070478231155099,2.1744029806158878,1.7612923227318056,3.23470231973796,4.4318569163336266,3.657598508678283,1.9850458790742576,5.046123384719875,2.7711131404502516,3.1292999866831086,3.30234644918833,1.8448222133880825,3.481362577557258,4.430281025391875,5.2172105438765
MGL_T,1.1864824566292582,0.9501284214231107,1.0793123941038767,0.07611032136044323,1.2269289340625475,0.3969062505774132,1.5390464879200016,1.3392495050244855,0.9078979211756047,0.48472864050367565,0.3381355971163377,2.4241128773707525,0.9441426984595065,0.847023343620356,0.5678079527758677,0.09903600125468809,0.15018093918564343,0.6050773177911276,0.15223725259198173,0.7968058542535348,0.9076970067859,0.3633621565365696,1.0700498156763911,0.6091731739104236,1.5511805394964322,2.3529127601778184,3.871155138686009,0.887210809514615,1.008062319035941,1.5736932417406684,0.45685071309679137,2.879602853941006,2.804888295215596,0.7377028883100325,0.4086491920210089,0.19564083733202917,15.10815238395816,10.908129007850295,8.861466187511246,8.691536517256193,8.673102774403443,8.520317930500864,8.4631144814338,8.318314401884725,8.2824482112168,8.20589575413122,8.195427474257256,8.128502482300835,1.1159189285894313,1.3747602068929519,1.8589126618421765,1.638156901497055,1.0599263577333484,1.0049891214294153,1.7455068264646498,0.9402236543289313,1.5655637473765565,2.128134453643969,1.8420015752077674,2.4287961805128404
RHB_T,0.6883506346264271,0.3013629724018053,0.7077516522582243,1.1330220769052408,0.04078617437222828,0.25099100062703084,0.7472629646053598,0.5892574458722647,1.0732941320021496,0.8080431751590834,0.7198856445569028,0.2876624220092649,0.7582212436243607,0.8093770819078945,0.6438992991372293,0.334217317575136,0.49480358615596454,1.1056287433106153,1.0926724128343774,0.7968058542535348,0.8914995142604514,0.9769471980385672,1.0878000733309845,1.0106566904904366,1.9985616978977419,2.6059417948582113,1.552867887427068,2.897612002795685,1.0218517681073045,2.7044290416099592,0.9632649001550653,1.4614434814342747,1.445616537841956,2.158254111403294,1.8108001067808974,1.0172668311595885,1.181920948265848,0.8717445551651436,1.6115219680254398,0.5857307885524667,0.9596870783077682,1.8747266585388924,1.9057721199071875,0.5072931644512351,1.358250588508799,2.282265611063299,1.1060089325596587,2.435400411163697,12.66302364217869,10.685778012143398,10.506268010904432,9.975767585652905,9.53776693710213,9.243059060171658,8.81905751545363,8.781017565060685,8.522910387416093,8.107511382482429,8.046866506029925,7.946211948341422
Class,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,MED,MED,MED,MED,MED,MED,MED,MED,MED,MED,MED,MED,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB
