SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,U52155_at,M61156_at,M77235_at,L14856_at,D83174_s_at,U47621_at,J03191_at,U41387_at
63,56,510,43,60,44,34,20,381,144,320,287,170,24,20,94,20,645,59,580,60
64,39,95,33,29,155,128,261,924,201,335,301,221,35,20,111,31,157,20,375,45
65,39,148,74,27,92,63,175,1499,195,352,343,240,32,20,127,46,123,27,246,41
66,37,184,39,33,118,73,153,923,177,329,277,199,44,21,132,27,144,20,257,41
67,39,147,20,25,115,102,192,1358,199,313,256,243,32,23,101,25,166,37,292,24
68,41,147,21,28,102,94,185,1081,190,287,271,237,30,20,125,22,149,20,259,20
69,45,160,26,21,119,92,121,1120,203,269,228,209,34,20,124,59,121,20,263,35
EPD_T,12.711130572248482,11.80371653941342,10.489253069217572,10.232887293010236,0.7052301650249635,0.8136963924219928,1.1776218571622117,0.13529835108338048,4.088469555026475,4.044659480841546,2.9363575028704476,4.191485247613384,1.5878959884772263,1.1468348338125554,2.8225580342096848,1.3722982804178536,0.3427708492943491,1.8874575597964833,0.6883000132950851,0.6486967046390624
JPA_T,0.21974045021354652,0.6237465619678247,0.1903553850663686,1.0374672893997634,30.130451047298486,25.985897061072464,23.931442475208197,22.48353088514614,3.5558885269105738,1.9093108049541476,2.627466707182572,5.708827205459118,0.12614366985465747,0.5520182190723057,1.9079530745942421,0.5536322720022162,1.3337073642754407,0.9576965498623948,0.04175875054794519,0.8620720215740634
MED_T,5.326990759530301,5.1711242607339996,4.021576026877472,3.5077528090220143,3.174608639998446,3.0510650130442882,3.02626610710583,4.602915563327322,10.976900168041919,10.791074972558896,10.455894927511723,10.42174310254906,2.6164075284428194,2.441858856054896,0.2521024775457353,2.772872996653187,3.23470231973796,4.4318569163336266,3.657598508678283,1.9850458790742576
MGL_T,1.1864824566292582,0.9501284214231107,1.0793123941038767,0.07611032136044323,0.9441426984595065,0.847023343620356,0.5678079527758677,0.09903600125468809,1.5511805394964322,2.3529127601778184,3.871155138686009,0.887210809514615,15.10815238395816,10.908129007850295,8.861466187511246,8.691536517256193,1.1159189285894313,1.3747602068929519,1.8589126618421765,1.638156901497055
RHB_T,0.6883506346264271,0.3013629724018053,0.7077516522582243,1.1330220769052408,0.7582212436243607,0.8093770819078945,0.6438992991372293,0.334217317575136,1.9985616978977419,2.6059417948582113,1.552867887427068,2.897612002795685,1.181920948265848,0.8717445551651436,1.6115219680254398,0.5857307885524667,12.66302364217869,10.685778012143398,10.506268010904432,9.975767585652905
Class,EPD,EPD,EPD,EPD,JPA,JPA,JPA,JPA,MED,MED,MED,MED,MGL,MGL,MGL,MGL,RHB,RHB,RHB,RHB
