SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at
46,20,30,20,47,20,235,20,20,28,20,84,62,216,222,267,97,127,85,123,32,278,79,281,527,237,20,105,20,28,20
47,37,86,20,22,20,40,20,20,20,204,194,20,140,607,452,151,198,64,26,20,138,20,69,236,951,88,721,189,115,154
48,102,20,35,20,20,181,20,20,20,322,20,20,143,108,275,116,280,102,20,20,157,20,122,180,1610,149,1132,209,238,451
49,49,83,20,26,20,195,20,20,20,20,20,20,144,211,395,142,173,109,43,20,144,35,77,219,1534,108,924,166,236,417
50,49,20,22,37,20,20,20,20,20,20,20,20,90,455,508,256,120,132,25,20,164,20,60,322,818,74,881,174,232,20
51,30,24,20,20,20,23,20,20,26,20,20,20,254,261,515,143,106,110,20,20,116,26,81,279,2096,112,754,279,133,448
52,83,72,34,39,30,112,20,20,60,120,20,20,229,54,404,180,168,75,20,20,93,20,65,152,1019,122,1029,171,99,290
53,23,292,20,26,30,240,33,22,20,158,20,26,97,71,187,166,100,56,20,22,94,50,166,238,1717,174,739,38,86,197
54,184,462,83,182,27,443,20,20,20,20,20,20,231,75,263,167,437,71,31,20,143,37,128,283,196,24,154,20,29,20
55,158,952,85,223,41,440,25,20,20,20,33,36,157,46,226,142,212,92,27,20,107,28,91,238,125,20,73,20,25,20
56,176,621,155,183,37,639,20,20,20,29,62,20,203,114,288,165,512,76,29,21,108,31,104,190,337,32,416,38,58,75
57,93,480,82,82,39,182,20,20,22,83,23,20,199,191,428,188,319,114,20,20,120,20,67,213,526,74,605,40,94,51
58,74,172,66,56,47,156,20,20,20,62,27,20,180,434,608,209,205,129,22,20,100,20,50,191,441,108,458,57,52,97
59,148,141,89,77,26,632,20,20,20,20,26,20,198,155,381,191,348,87,20,20,170,20,87,296,239,61,120,20,20,20
60,112,260,20,66,54,384,22,20,20,257,24,20,94,176,193,138,101,63,26,21,100,23,104,251,975,113,306,22,74,138
61,103,395,180,152,20,470,26,20,31,285,114,49,184,323,329,217,183,112,20,20,129,20,88,251,297,43,237,48,56,23
62,137,503,166,82,26,350,20,20,20,341,141,20,220,49,226,141,264,130,20,20,96,20,84,203,227,23,353,97,57,86
63,56,510,43,60,36,263,44,34,20,381,89,62,144,320,287,170,287,95,24,20,94,20,101,173,645,59,580,60,109,177
64,39,95,33,29,20,165,155,128,261,924,329,169,201,335,301,221,202,87,35,20,111,31,127,303,157,20,375,45,94,20
65,39,148,74,27,20,275,92,63,175,1499,365,181,195,352,343,240,333,89,32,20,127,46,135,297,123,27,246,41,91,28
66,37,184,39,33,20,294,118,73,153,923,331,163,177,329,277,199,265,74,44,21,132,27,142,269,144,20,257,41,100,47
67,39,147,20,25,20,178,115,102,192,1358,396,138,199,313,256,243,271,66,32,23,101,25,98,233,166,37,292,24,85,29
68,41,147,21,28,20,190,102,94,185,1081,314,120,190,287,271,237,240,80,30,20,125,22,139,296,149,20,259,20,70,20
69,45,160,26,21,20,297,119,92,121,1120,293,221,203,269,228,209,229,78,34,20,124,59,152,329,121,20,263,35,73,20
EPD_T,12.711130572248482,11.80371653941342,10.489253069217572,10.232887293010236,9.520901997654287,9.391944471090882,0.7052301650249635,0.8136963924219928,1.1776218571622117,0.13529835108338048,0.19854418282876704,0.7205008362544325,4.088469555026475,4.044659480841546,2.9363575028704476,4.191485247613384,5.932262248147884,3.121023560810498,1.5878959884772263,1.1468348338125554,2.8225580342096848,1.3722982804178536,1.2479660407417412,2.5088039555910866,0.3427708492943491,1.8874575597964833,0.6883000132950851,0.6486967046390624,0.2811774589556673,0.12698196894181735
JPA_T,0.21974045021354652,0.6237465619678247,0.1903553850663686,1.0374672893997634,1.1248887234138831,1.8492138083157612,30.130451047298486,25.985897061072464,23.931442475208197,22.48353088514614,21.254929836894803,20.87737082139587,3.5558885269105738,1.9093108049541476,2.627466707182572,5.708827205459118,3.159949367858882,3.100141990738162,0.12614366985465747,0.5520182190723057,1.9079530745942421,0.5536322720022162,1.0895163852126348,0.2852561211965089,1.3337073642754407,0.9576965498623948,0.04175875054794519,0.8620720215740634,1.7129541175321388,1.0465470288771388
MED_T,5.326990759530301,5.1711242607339996,4.021576026877472,3.5077528090220143,3.237231986982671,7.416115880282749,3.174608639998446,3.0510650130442882,3.02626610710583,4.602915563327322,4.571796333593478,2.9641189051311234,10.976900168041919,10.791074972558896,10.455894927511723,10.42174310254906,9.91990075435085,9.582955538720874,2.6164075284428194,2.441858856054896,0.2521024775457353,2.772872996653187,2.9591239469041275,0.947073959827154,3.23470231973796,4.4318569163336266,3.657598508678283,1.9850458790742576,5.046123384719875,2.7711131404502516
MGL_T,1.1864824566292582,0.9501284214231107,1.0793123941038767,0.07611032136044323,1.2269289340625475,0.3969062505774132,0.9441426984595065,0.847023343620356,0.5678079527758677,0.09903600125468809,0.15018093918564343,0.6050773177911276,1.5511805394964322,2.3529127601778184,3.871155138686009,0.887210809514615,1.008062319035941,1.5736932417406684,15.10815238395816,10.908129007850295,8.861466187511246,8.691536517256193,8.673102774403443,8.520317930500864,1.1159189285894313,1.3747602068929519,1.8589126618421765,1.638156901497055,1.0599263577333484,1.0049891214294153
RHB_T,0.6883506346264271,0.3013629724018053,0.7077516522582243,1.1330220769052408,0.04078617437222828,0.25099100062703084,0.7582212436243607,0.8093770819078945,0.6438992991372293,0.334217317575136,0.49480358615596454,1.1056287433106153,1.9985616978977419,2.6059417948582113,1.552867887427068,2.897612002795685,1.0218517681073045,2.7044290416099592,1.181920948265848,0.8717445551651436,1.6115219680254398,0.5857307885524667,0.9596870783077682,1.8747266585388924,12.66302364217869,10.685778012143398,10.506268010904432,9.975767585652905,9.53776693710213,9.243059060171658
Class,EPD,EPD,EPD,EPD,EPD,EPD,JPA,JPA,JPA,JPA,JPA,JPA,MED,MED,MED,MED,MED,MED,MGL,MGL,MGL,MGL,MGL,MGL,RHB,RHB,RHB,RHB,RHB,RHB
