SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,X72964_at,X99350_rna1_at,U85611_at,X76105_at,U57629_at,M97676_at,D14662_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,U39817_at,M57466_s_at,M63623_at,U20350_at,L20971_at,U02566_s_at,X96753_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U45955_at,D16481_at,X04828_at,U07802_at,D50310_at,Z69915_at,U48705_rna1_s_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,HG4115-HT4385_at,L42563_at,Z34975_at,Z80788_at,Z21707_at,M19722_at,U48865_s_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at,Y07604_at,X05130_s_at,AJ001421_at,D45248_at,D42041_at,X62515_s_at,M61832_s_at
11,20,20,20,20,20,20,20,20,84,20,41,20,25,102,143,20,20,20,20,20,20,32,20,20,20,20,20,82,20,33,65,579,606,20,20,170,20,68,20,20,20,61,745,56,22,20,20,251,39,158,308,72,190,210,81,169,52,100,47,86,172,20,20,20,20,20,25,20,381,111,20,20,76,27,84
12,20,20,20,20,20,20,20,20,169,20,44,20,20,107,57,20,20,20,20,20,20,29,20,20,20,20,20,87,20,20,20,1237,871,20,20,299,20,320,24,35,20,27,956,154,62,30,20,238,47,124,336,90,271,222,93,145,42,75,119,86,147,20,133,20,20,20,68,20,152,73,23,87,94,21,61
13,20,20,20,20,20,20,20,20,129,20,100,33,20,85,37,20,20,25,20,20,20,20,20,20,20,20,20,29,20,20,20,812,1066,20,20,298,25,314,52,70,20,80,984,127,20,20,21,148,58,112,295,51,91,134,58,83,29,42,47,41,127,20,90,20,20,20,55,20,532,122,20,90,90,23,66
14,20,20,20,22,20,37,20,20,173,20,127,20,26,54,98,20,20,20,20,20,20,20,20,20,20,20,20,87,20,21,20,649,568,20,20,261,30,157,28,20,20,31,1307,85,20,26,20,160,20,73,262,64,114,152,81,132,20,53,20,46,148,20,135,20,20,20,20,20,242,177,30,42,132,20,38
15,70,51,20,31,20,61,146,43,307,20,76,86,23,233,132,20,20,20,125,20,20,20,20,20,37,20,20,20,20,25,113,70,466,109,138,131,145,55,44,142,68,251,571,64,271,20,20,115,20,83,260,43,134,138,50,134,20,65,31,47,893,20,878,37,47,20,106,26,338,410,126,201,195,54,198
16,20,20,20,23,20,20,20,35,121,20,40,50,20,55,112,20,20,20,20,20,20,21,20,20,20,20,20,20,91,20,20,1032,746,30,45,215,39,307,46,31,20,36,2082,396,98,20,20,155,20,50,270,50,106,135,68,212,35,59,52,45,165,20,223,29,20,22,102,20,426,302,75,39,165,31,260
17,23,29,20,23,22,71,41,114,132,20,75,84,23,109,196,20,20,20,20,34,52,101,20,20,20,20,20,29,20,51,98,880,472,95,58,142,88,321,97,89,125,112,838,167,138,20,20,154,33,123,264,54,143,209,61,187,34,95,93,70,475,20,365,63,94,143,178,20,151,355,145,109,198,79,144
18,20,20,20,23,20,103,47,26,122,33,79,82,20,86,151,20,20,20,20,20,49,20,20,20,82,20,20,20,28,20,129,984,581,48,47,171,37,322,26,80,54,62,1132,185,121,33,20,177,31,97,256,49,109,180,58,137,24,86,113,77,207,20,367,63,49,62,130,20,154,192,95,82,170,50,194
19,20,20,20,34,20,64,20,20,170,20,85,27,20,106,170,20,20,20,20,20,20,20,20,20,20,20,20,91,20,34,99,1159,604,54,31,185,26,235,27,25,20,38,1434,166,51,32,20,158,25,109,277,42,100,162,78,174,40,92,117,73,171,20,181,52,39,20,64,20,177,296,102,114,200,33,115
20,20,20,20,23,20,61,32,20,163,20,99,29,20,64,73,20,20,20,20,20,20,35,20,20,20,20,20,39,20,20,20,1108,908,24,36,178,75,296,223,80,20,52,1479,178,197,20,20,140,32,39,294,46,86,153,58,148,34,51,20,40,162,20,305,23,20,20,61,20,246,171,100,88,99,20,75
21,20,20,20,29,20,37,20,20,117,20,72,20,25,72,125,20,20,20,20,28,20,20,20,20,20,20,30,32,20,45,55,740,699,52,66,222,42,270,96,31,55,69,1182,183,160,28,20,121,20,49,277,47,126,153,66,157,38,61,50,34,205,20,219,20,23,21,100,20,80,250,107,149,113,57,80
22,20,20,20,26,20,20,20,20,166,20,56,20,20,50,104,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,1443,964,22,23,315,20,278,36,20,20,63,957,215,88,32,21,138,47,55,237,59,111,190,58,109,28,56,64,48,137,20,28,20,26,20,85,20,275,173,62,36,90,29,51
23,20,20,20,47,20,20,20,20,138,20,110,20,20,80,91,20,20,28,20,20,20,20,20,20,20,20,20,33,20,20,20,808,732,33,20,120,51,349,68,25,20,20,1008,140,109,20,20,211,20,53,299,67,149,160,98,111,56,71,110,20,177,20,20,20,20,167,29,20,236,161,26,25,72,30,63
24,20,20,20,20,20,46,20,20,148,20,36,20,23,78,105,20,20,20,20,20,20,20,20,20,20,20,20,56,20,20,20,945,830,20,20,101,24,169,20,20,20,20,435,90,20,20,20,192,20,106,234,70,116,112,20,104,20,59,20,29,135,20,20,20,29,200,20,25,120,114,46,49,105,20,26
25,20,20,20,42,20,45,20,20,94,20,72,20,32,75,65,20,20,57,20,20,20,20,20,20,20,20,20,79,20,20,124,861,1093,30,20,152,28,415,20,47,20,31,569,139,79,75,25,227,20,92,250,41,174,163,92,101,39,75,77,29,130,20,113,20,23,20,46,20,96,73,20,25,94,20,40
26,30,20,20,42,20,115,41,20,203,30,54,56,20,95,153,20,20,20,20,20,20,20,20,20,20,20,20,99,20,20,100,981,515,59,23,259,20,173,20,98,22,41,831,278,74,66,20,144,41,65,201,45,128,155,55,131,29,89,117,85,134,20,122,98,31,20,145,20,137,340,136,120,257,31,137
27,20,20,20,20,20,20,52,20,75,20,67,20,20,472,110,20,20,20,20,20,20,20,20,20,20,20,20,35,20,20,25,378,634,27,20,186,52,65,63,83,20,75,1030,109,37,22,20,109,20,84,225,81,181,177,56,227,30,72,24,20,764,20,274,20,20,20,41,20,245,198,20,51,66,20,226
28,20,24,20,35,20,20,20,20,133,20,53,66,20,97,191,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,54,626,534,69,20,219,55,224,60,24,20,50,927,152,35,20,25,196,23,142,325,51,121,238,67,185,43,129,102,72,326,20,176,61,66,20,148,20,306,198,170,43,205,33,139
29,21,20,20,20,20,20,20,20,175,20,30,49,20,110,135,20,20,28,20,20,20,54,20,20,22,20,20,84,20,41,52,1102,830,36,20,196,30,387,41,20,34,80,996,193,101,33,23,90,20,88,265,54,131,160,78,191,43,78,71,55,222,20,237,20,20,20,121,20,146,182,82,100,108,26,97
30,31,20,20,32,20,37,56,20,108,20,47,93,20,132,203,20,20,22,20,20,27,20,20,20,20,20,26,20,20,29,89,387,467,72,38,111,36,183,20,20,21,77,713,160,112,47,21,178,20,86,289,63,224,170,82,171,43,118,119,64,267,20,155,86,26,20,126,20,112,348,79,131,273,40,195
31,20,20,20,42,20,20,20,20,148,20,34,20,31,129,86,20,20,40,20,36,20,20,20,20,20,20,20,39,30,20,20,682,1106,20,20,147,49,100,20,48,20,20,982,162,171,23,20,206,20,57,271,68,67,175,105,123,41,69,59,29,48,20,20,27,20,106,50,20,100,115,23,20,84,28,39
32,20,20,20,32,20,168,20,20,177,20,249,20,20,62,102,46,20,22,20,20,20,20,20,20,20,20,20,63,20,20,120,747,842,54,20,137,20,198,21,23,29,20,799,114,218,36,20,167,20,76,291,69,148,181,66,166,21,75,24,20,131,20,51,20,20,86,34,20,50,103,20,70,115,20,31
33,54,20,20,31,24,20,37,20,110,20,69,45,20,74,215,20,20,20,20,20,20,33,20,20,20,20,20,32,25,30,84,407,573,102,85,189,58,300,66,83,44,154,1669,216,100,24,20,134,20,113,229,51,199,151,59,175,22,57,97,54,567,29,309,187,35,20,159,20,257,412,145,141,221,34,407
34,20,20,20,23,20,20,20,20,124,20,70,40,20,118,41,20,20,26,20,20,20,20,20,20,21,20,25,20,20,20,67,699,576,45,26,148,24,418,40,48,20,57,883,149,101,46,20,204,20,172,399,58,146,257,77,150,48,153,52,94,184,20,112,24,30,20,71,20,289,127,72,47,113,20,67
35,20,20,20,32,26,20,20,20,127,20,53,49,20,93,187,20,20,39,20,20,25,108,20,20,20,56,67,50,36,33,83,874,696,90,38,204,98,320,310,74,73,81,1243,191,188,20,25,185,38,142,303,52,131,225,78,153,23,110,97,73,144,20,106,46,23,20,102,20,205,164,138,82,197,20,128
36,20,20,20,38,20,20,20,48,135,25,71,108,20,76,134,20,20,20,20,20,40,25,20,20,25,20,27,20,20,22,69,872,791,64,38,208,39,385,20,33,20,51,1463,122,132,29,20,182,20,105,269,44,168,189,61,148,20,82,89,61,187,25,196,55,35,20,127,20,177,195,92,96,148,21,122
37,30,20,20,41,20,20,20,29,197,23,66,87,20,78,177,20,20,20,20,20,20,20,20,20,20,20,20,20,36,20,62,848,631,63,49,185,47,353,20,49,20,43,848,210,95,34,20,181,42,96,287,53,164,194,61,140,27,80,138,84,209,20,309,31,33,20,119,20,367,296,84,116,277,28,197
38,37,20,20,36,24,20,20,20,142,21,20,108,20,114,116,20,20,28,20,20,20,81,20,20,20,20,20,155,20,20,76,1069,819,59,111,171,31,159,43,21,59,36,1087,222,169,20,20,158,20,80,273,65,180,179,71,166,45,78,112,75,107,20,20,33,21,20,84,20,74,159,63,94,137,22,113
39,20,20,20,47,20,20,20,20,197,20,34,20,20,80,172,20,20,20,20,20,20,26,20,20,20,20,20,20,20,46,48,786,751,35,20,200,42,258,20,50,20,40,1150,250,124,33,20,218,20,162,301,52,159,207,77,164,22,76,78,83,208,20,126,24,24,20,164,20,142,266,66,97,162,30,157
40,27,20,20,27,20,45,20,20,82,20,58,20,20,89,42,20,20,21,231,36,20,20,20,20,20,85,22,118,30,31,142,337,183,46,73,125,74,97,400,35,20,66,621,92,321,110,24,331,66,196,428,114,319,261,124,208,52,122,195,101,175,20,30,20,27,20,41,20,198,117,20,43,110,45,107
41,28,52,20,55,20,106,20,20,205,29,137,20,32,111,202,20,20,20,45,98,24,82,20,20,168,115,61,83,61,49,156,276,250,84,57,103,133,23,486,46,236,145,478,76,581,98,23,272,58,159,357,94,269,230,149,235,72,135,162,91,20,20,112,20,35,20,113,20,138,236,70,35,156,27,75
42,20,20,20,58,20,239,34,20,158,46,112,20,25,145,179,20,20,23,112,40,20,334,20,20,60,74,158,78,20,20,127,169,225,64,232,91,115,50,589,172,324,147,287,30,481,118,27,348,104,302,485,98,308,353,181,280,69,146,185,151,199,20,121,20,25,20,36,20,108,97,20,40,113,26,63
43,34,152,20,31,20,115,20,50,117,20,102,66,21,81,222,20,20,24,205,99,20,27,20,20,115,43,127,183,20,42,113,309,265,72,369,146,237,64,708,113,274,138,365,42,438,56,40,208,40,127,341,77,255,179,101,224,75,108,113,59,363,20,320,20,45,104,109,20,159,324,211,152,169,36,135
44,30,20,20,39,20,104,20,20,121,20,71,20,20,123,136,20,20,58,335,63,33,70,20,20,47,81,77,151,20,38,164,486,167,65,201,138,137,91,600,101,31,106,388,81,493,118,40,286,44,223,407,103,241,327,272,207,105,142,166,132,179,20,20,29,51,20,65,20,145,139,42,37,145,37,97
45,27,20,20,36,20,207,20,20,107,38,117,20,20,117,85,20,20,21,110,44,20,20,20,20,20,116,45,27,20,50,111,177,93,85,82,125,117,54,726,34,33,71,324,43,656,98,30,317,98,277,487,95,312,372,210,247,53,158,221,170,175,20,47,20,33,20,42,20,161,122,20,21,84,37,85
46,20,30,20,47,20,235,23,20,239,49,107,20,32,178,505,20,20,28,20,84,62,43,20,20,20,101,187,67,20,44,216,222,267,97,127,85,364,53,681,123,185,147,421,51,270,123,32,278,79,281,527,92,204,329,209,297,64,161,154,119,237,20,105,20,28,20,38,20,130,47,20,41,100,20,61
47,37,86,20,22,20,40,147,41,101,20,146,93,20,73,281,20,20,20,204,194,20,20,20,20,49,20,64,20,52,27,140,607,452,151,198,64,316,158,254,126,287,247,545,119,292,26,20,138,20,69,236,42,167,119,46,135,20,89,100,44,951,88,721,189,115,154,305,46,465,588,319,355,329,111,352
48,102,20,35,20,20,181,20,25,82,20,95,85,20,77,197,20,20,20,322,20,20,20,20,20,20,20,28,47,20,29,143,108,275,116,280,102,534,138,305,200,127,111,336,63,336,20,20,157,20,122,180,45,213,139,50,151,21,81,95,59,1610,149,1132,209,238,451,461,162,506,894,391,230,323,69,386
49,49,83,20,26,20,195,20,88,96,33,133,72,20,74,340,20,20,20,20,20,20,20,20,20,60,20,20,50,20,23,144,211,395,142,173,109,59,114,83,222,146,96,396,86,41,43,20,144,35,77,219,46,214,111,49,146,20,110,80,56,1534,108,924,166,236,417,516,54,600,740,323,412,339,198,465
50,49,20,22,37,20,20,20,93,152,20,31,57,25,77,312,20,20,20,20,20,20,20,20,20,56,20,20,20,20,20,90,455,508,256,120,132,92,164,20,151,30,155,629,42,94,25,20,164,20,60,322,35,111,153,33,128,20,90,85,46,818,74,881,174,232,20,160,20,630,311,186,394,347,42,1060
51,30,24,20,20,20,23,20,54,139,20,66,76,29,59,329,20,20,26,20,20,20,20,20,20,29,20,20,32,20,25,254,261,515,143,106,110,60,91,20,147,225,58,644,58,79,20,20,116,26,81,279,38,98,159,42,155,20,87,73,61,2096,112,754,279,133,448,283,62,723,631,311,384,436,118,596
52,83,72,34,39,30,112,77,156,198,20,150,101,29,219,292,20,20,60,120,20,20,20,20,21,20,20,20,53,20,25,229,54,404,180,168,75,180,138,56,234,197,190,619,38,245,20,20,93,20,65,152,27,118,114,25,136,20,61,60,36,1019,122,1029,171,99,290,192,121,549,498,234,429,376,58,399
53,23,292,20,26,30,240,20,186,141,30,310,134,43,96,306,33,22,20,158,20,26,20,20,20,20,20,20,20,20,48,97,71,187,166,100,56,122,46,22,116,609,265,422,37,50,20,22,94,50,166,238,49,124,175,64,135,20,85,85,69,1717,174,739,38,86,197,235,108,315,740,183,284,314,120,120
54,184,462,83,182,27,443,297,221,1564,281,323,206,135,1909,434,20,20,20,20,20,20,21,20,20,77,20,25,20,52,20,231,75,263,167,437,71,217,108,726,185,291,224,352,43,710,31,20,143,37,128,283,30,133,157,115,178,41,76,57,24,196,24,154,20,29,20,65,20,150,230,128,189,221,20,96
55,158,952,85,223,41,440,207,163,1781,458,388,154,323,1511,373,25,20,20,20,33,36,20,20,20,45,20,38,29,20,20,157,46,226,142,212,92,210,73,960,173,167,170,340,56,885,27,20,107,28,91,238,36,127,122,75,159,21,80,121,43,125,20,73,20,25,20,59,20,68,124,80,249,219,21,72
56,176,621,155,183,37,639,370,233,1038,268,304,298,100,1159,582,20,20,20,29,62,20,20,20,20,127,20,86,56,231,29,203,114,288,165,512,76,252,102,876,244,494,207,482,61,580,29,21,108,31,104,190,34,119,86,89,171,26,52,85,42,337,32,416,38,58,75,158,22,173,376,166,243,246,26,130
57,93,480,82,82,39,182,336,85,373,58,143,206,42,566,395,20,20,22,83,23,20,20,20,20,61,20,38,33,20,20,199,191,428,188,319,114,298,72,202,175,135,205,572,102,403,20,20,120,20,67,213,35,151,95,38,109,20,69,73,27,526,74,605,40,94,51,159,20,310,411,230,274,251,55,253
58,74,172,66,56,47,156,162,86,236,38,96,171,45,250,366,20,20,20,62,27,20,20,20,20,20,20,20,43,20,20,180,434,608,209,205,129,440,98,175,150,135,251,773,141,504,22,20,100,20,50,191,35,137,72,38,115,20,60,90,32,441,108,458,57,52,97,149,20,360,351,119,210,263,37,379
59,148,141,89,77,26,632,255,204,461,112,231,243,80,1901,537,20,20,20,20,26,20,20,20,20,20,20,52,25,20,34,198,155,381,191,348,87,282,25,789,224,120,304,366,38,441,20,20,170,20,87,296,35,151,159,87,144,25,94,74,60,239,61,120,20,20,20,84,20,268,153,66,339,303,20,106
60,112,260,20,66,54,384,63,491,492,156,331,183,88,334,327,22,20,20,257,24,20,20,20,20,111,20,50,42,20,69,94,176,193,138,101,63,230,80,353,141,273,168,518,46,579,26,21,100,23,104,251,31,102,117,37,132,20,80,98,62,975,113,306,22,74,138,263,31,179,471,131,163,221,65,97
61,103,395,180,152,20,470,80,136,740,225,219,164,110,126,445,26,20,31,285,114,49,99,20,89,174,108,136,64,20,20,184,323,329,217,183,112,491,69,815,260,412,238,661,93,935,20,20,129,20,88,251,38,165,112,89,143,57,70,58,36,297,43,237,48,56,23,121,20,154,350,166,154,147,48,167
62,137,503,166,82,26,350,323,520,582,25,340,121,117,564,579,20,20,20,341,141,20,20,20,20,90,20,20,28,36,20,220,49,226,141,264,130,407,97,982,251,304,266,567,63,876,20,20,96,20,84,203,36,148,95,41,143,20,57,88,36,227,23,353,97,57,86,117,44,229,404,192,96,274,54,329
63,56,510,43,60,36,263,150,322,358,109,225,205,70,249,431,44,34,20,381,89,62,30,28,20,173,23,156,62,20,77,144,320,287,170,287,95,395,103,633,176,454,308,513,61,498,24,20,94,20,101,173,31,94,104,49,115,20,63,80,36,645,59,580,60,109,177,201,80,157,524,232,248,222,119,160
64,39,95,33,29,20,165,81,86,188,20,95,132,35,55,198,155,128,261,924,329,169,564,95,125,458,333,541,553,357,224,201,335,301,221,202,87,375,46,777,263,387,331,562,52,932,35,20,111,31,127,303,39,193,133,90,158,41,78,79,42,157,20,375,45,94,20,121,20,184,285,145,235,215,30,138
65,39,148,74,27,20,275,211,95,241,20,118,118,41,63,309,92,63,175,1499,365,181,512,138,99,432,436,277,443,420,286,195,352,343,240,333,89,395,34,931,268,430,275,526,47,992,32,20,127,46,135,297,39,176,130,121,184,47,80,98,43,123,27,246,41,91,28,96,28,184,320,123,181,221,25,108
66,37,184,39,33,20,294,182,107,251,28,136,101,36,73,249,118,73,153,923,331,163,576,94,82,569,378,341,432,253,130,177,329,277,199,265,74,396,43,1026,231,351,283,515,66,843,44,21,132,27,142,269,42,185,133,105,167,35,91,97,45,144,20,257,41,100,47,105,34,154,302,102,160,209,34,125
67,39,147,20,25,20,178,84,76,240,20,162,117,24,51,294,115,102,192,1358,396,138,689,62,123,577,303,450,401,273,145,199,313,256,243,271,66,286,38,889,254,397,322,549,76,859,32,23,101,25,98,233,39,173,139,154,161,54,81,62,56,166,37,292,24,85,29,102,20,200,325,168,193,173,33,123
68,41,147,21,28,20,190,76,94,263,20,126,92,26,53,285,102,94,185,1081,314,120,342,158,103,286,269,586,435,269,153,190,287,271,237,240,80,522,51,792,232,394,278,600,64,858,30,20,125,22,139,296,48,180,145,127,155,46,88,73,50,149,20,259,20,70,20,113,20,195,259,136,163,163,21,128
69,45,160,26,21,20,297,179,64,196,23,171,83,59,60,356,119,92,121,1120,293,221,394,179,77,423,159,319,336,302,120,203,269,228,209,229,78,374,54,929,287,375,434,492,69,826,34,20,124,59,152,329,54,139,147,172,150,33,53,88,52,121,20,263,35,73,20,79,33,187,249,82,167,187,23,107
EPD_T,12.711130572248482,11.80371653941342,10.489253069217572,10.232887293010236,9.520901997654287,9.391944471090882,9.19197124472467,9.016083564117968,8.862460894634705,8.772087740016124,8.635820395422977,8.484738639193214,8.433816344567266,8.428083802277426,8.314685200927874,0.7052301650249635,0.8136963924219928,1.1776218571622117,0.13529835108338048,0.19854418282876704,0.7205008362544325,1.1284844732132036,0.8895345630080268,0.16395985755400255,0.23308726479741887,0.976558516170905,0.24161109145882464,1.4617832243021027,0.34934787466780487,0.6142996872512475,4.088469555026475,4.044659480841546,2.9363575028704476,4.191485247613384,5.932262248147884,3.121023560810498,4.75945704619407,2.9517924193413743,4.271071441475787,4.149547552568967,3.506183511410061,4.237451343826005,2.796633635738853,2.6653341782022895,4.666870017454049,1.5878959884772263,1.1468348338125554,2.8225580342096848,1.3722982804178536,1.2479660407417412,2.5088039555910866,3.6379171679783044,1.7011007409773342,3.422084898172186,1.1192907173771942,1.357664628292389,1.5203031037677024,1.6847583922605311,0.2963705455674406,2.156835864990289,0.3427708492943491,1.8874575597964833,0.6883000132950851,0.6486967046390624,0.2811774589556673,0.12698196894181735,0.7822256386043607,0.18542837170059348,0.5767222126030321,1.223653706180885,1.747399875235335,2.5911536891690417,2.2452544510897043,0.750906539482763,0.28837934557856787
JPA_T,0.21974045021354652,0.6237465619678247,0.1903553850663686,1.0374672893997634,1.1248887234138831,1.8492138083157612,2.0138474700494755,0.4142741893289623,0.11064260488776065,0.7929302819739054,0.7110977856934222,1.0054305504914087,0.014150728104351858,1.0110217060122888,1.247927067355901,30.130451047298486,25.985897061072464,23.931442475208197,22.48353088514614,21.254929836894803,20.87737082139587,20.243179577399285,19.35373315905284,18.832833585900374,18.668775249935887,18.626385909589743,17.82334543209028,16.768360496851717,16.701656089285933,16.109072826163963,3.5558885269105738,1.9093108049541476,2.627466707182572,5.708827205459118,3.159949367858882,3.100141990738162,5.021527749425064,3.024784980389855,5.684762740097181,5.581969279060738,5.022707999722736,6.390925963304033,1.8471325982957096,2.27681496747955,6.752574894597844,0.12614366985465747,0.5520182190723057,1.9079530745942421,0.5536322720022162,1.0895163852126348,0.2852561211965089,1.3122310781736568,0.7209076024442439,1.2773617541268174,2.729496652319285,0.33964317932475235,1.231504480216411,0.44108890919003907,0.19512929342835394,0.8504259320300471,1.3337073642754407,0.9576965498623948,0.04175875054794519,0.8620720215740634,1.7129541175321388,1.0465470288771388,0.430253825715343,0.25854164052848855,0.7969791571088326,0.15914100441942228,0.49748830257753796,1.048156115078912,0.32699828657278074,1.001651053707246,0.7217687328731417
MED_T,5.326990759530301,5.1711242607339996,4.021576026877472,3.5077528090220143,3.237231986982671,7.416115880282749,4.703283808233178,4.724430005940995,3.236050531173461,3.245171871708608,6.025194483542132,3.885296962447843,3.6097618592046077,2.8742861320795656,7.543422083991698,3.174608639998446,3.0510650130442882,3.02626610710583,4.602915563327322,4.571796333593478,2.9641189051311234,3.16559365282202,2.8494537268340174,3.300838375864983,4.028579839928265,3.953883817252742,4.312830871143822,2.641016342301692,3.0114188908397015,3.4218308748522865,10.976900168041919,10.791074972558896,10.455894927511723,10.42174310254906,9.91990075435085,9.582955538720874,9.550868743062102,9.19959313379415,9.120909636865301,9.058108088428831,8.973544064062102,8.920844097747032,8.856683831276987,8.840902982903236,8.804461375014423,2.6164075284428194,2.441858856054896,0.2521024775457353,2.772872996653187,2.9591239469041275,0.947073959827154,0.6462160449193475,2.5913452461028053,0.22973945099776968,3.070478231155099,2.1744029806158878,1.7612923227318056,2.3621804434718716,3.2720738840084,1.2580300471618988,3.23470231973796,4.4318569163336266,3.657598508678283,1.9850458790742576,5.046123384719875,2.7711131404502516,3.1292999866831086,3.30234644918833,1.8448222133880825,3.481362577557258,4.430281025391875,5.2172105438765,4.5179757844538875,3.225262699250791,2.5008180125202797
