SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at
12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29,20,20,1237,871,20,20,299,20,320,30,20,238,47,124,336,90,271,147,20,133,20,20,20,68,20
13,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,812,1066,20,20,298,25,314,20,21,148,58,112,295,51,91,127,20,90,20,20,20,55,20
14,20,20,20,22,20,37,20,20,20,20,20,20,20,20,20,20,20,649,568,20,20,261,30,157,26,20,160,20,73,262,64,114,148,20,135,20,20,20,20,20
15,70,51,20,31,20,61,146,43,20,20,20,125,20,20,20,20,113,70,466,109,138,131,145,55,20,20,115,20,83,260,43,134,893,20,878,37,47,20,106,26
16,20,20,20,23,20,20,20,35,20,20,20,20,20,20,21,20,20,1032,746,30,45,215,39,307,20,20,155,20,50,270,50,106,165,20,223,29,20,22,102,20
17,23,29,20,23,22,71,41,114,20,20,20,20,34,52,101,20,98,880,472,95,58,142,88,321,20,20,154,33,123,264,54,143,475,20,365,63,94,143,178,20
18,20,20,20,23,20,103,47,26,20,20,20,20,20,49,20,20,129,984,581,48,47,171,37,322,33,20,177,31,97,256,49,109,207,20,367,63,49,62,130,20
19,20,20,20,34,20,64,20,20,20,20,20,20,20,20,20,20,99,1159,604,54,31,185,26,235,32,20,158,25,109,277,42,100,171,20,181,52,39,20,64,20
20,20,20,20,23,20,61,32,20,20,20,20,20,20,20,35,20,20,1108,908,24,36,178,75,296,20,20,140,32,39,294,46,86,162,20,305,23,20,20,61,20
21,20,20,20,29,20,37,20,20,20,20,20,20,28,20,20,20,55,740,699,52,66,222,42,270,28,20,121,20,49,277,47,126,205,20,219,20,23,21,100,20
22,20,20,20,26,20,20,20,20,20,20,20,20,20,20,20,20,20,1443,964,22,23,315,20,278,32,21,138,47,55,237,59,111,137,20,28,20,26,20,85,20
23,20,20,20,47,20,20,20,20,20,20,28,20,20,20,20,20,20,808,732,33,20,120,51,349,20,20,211,20,53,299,67,149,177,20,20,20,20,167,29,20
24,20,20,20,20,20,46,20,20,20,20,20,20,20,20,20,20,20,945,830,20,20,101,24,169,20,20,192,20,106,234,70,116,135,20,20,20,29,200,20,25
25,20,20,20,42,20,45,20,20,20,20,57,20,20,20,20,20,124,861,1093,30,20,152,28,415,75,25,227,20,92,250,41,174,130,20,113,20,23,20,46,20
26,30,20,20,42,20,115,41,20,20,20,20,20,20,20,20,20,100,981,515,59,23,259,20,173,66,20,144,41,65,201,45,128,134,20,122,98,31,20,145,20
27,20,20,20,20,20,20,52,20,20,20,20,20,20,20,20,20,25,378,634,27,20,186,52,65,22,20,109,20,84,225,81,181,764,20,274,20,20,20,41,20
28,20,24,20,35,20,20,20,20,20,20,20,20,20,20,20,20,54,626,534,69,20,219,55,224,20,25,196,23,142,325,51,121,326,20,176,61,66,20,148,20
29,21,20,20,20,20,20,20,20,20,20,28,20,20,20,54,20,52,1102,830,36,20,196,30,387,33,23,90,20,88,265,54,131,222,20,237,20,20,20,121,20
30,31,20,20,32,20,37,56,20,20,20,22,20,20,27,20,20,89,387,467,72,38,111,36,183,47,21,178,20,86,289,63,224,267,20,155,86,26,20,126,20
31,20,20,20,42,20,20,20,20,20,20,40,20,36,20,20,20,20,682,1106,20,20,147,49,100,23,20,206,20,57,271,68,67,48,20,20,27,20,106,50,20
32,20,20,20,32,20,168,20,20,46,20,22,20,20,20,20,20,120,747,842,54,20,137,20,198,36,20,167,20,76,291,69,148,131,20,51,20,20,86,34,20
33,54,20,20,31,24,20,37,20,20,20,20,20,20,20,33,20,84,407,573,102,85,189,58,300,24,20,134,20,113,229,51,199,567,29,309,187,35,20,159,20
34,20,20,20,23,20,20,20,20,20,20,26,20,20,20,20,20,67,699,576,45,26,148,24,418,46,20,204,20,172,399,58,146,184,20,112,24,30,20,71,20
35,20,20,20,32,26,20,20,20,20,20,39,20,20,25,108,20,83,874,696,90,38,204,98,320,20,25,185,38,142,303,52,131,144,20,106,46,23,20,102,20
36,20,20,20,38,20,20,20,48,20,20,20,20,20,40,25,20,69,872,791,64,38,208,39,385,29,20,182,20,105,269,44,168,187,25,196,55,35,20,127,20
37,30,20,20,41,20,20,20,29,20,20,20,20,20,20,20,20,62,848,631,63,49,185,47,353,34,20,181,42,96,287,53,164,209,20,309,31,33,20,119,20
38,37,20,20,36,24,20,20,20,20,20,28,20,20,20,81,20,76,1069,819,59,111,171,31,159,20,20,158,20,80,273,65,180,107,20,20,33,21,20,84,20
39,20,20,20,47,20,20,20,20,20,20,20,20,20,20,26,20,48,786,751,35,20,200,42,258,33,20,218,20,162,301,52,159,208,20,126,24,24,20,164,20
40,27,20,20,27,20,45,20,20,20,20,21,231,36,20,20,20,142,337,183,46,73,125,74,97,110,24,331,66,196,428,114,319,175,20,30,20,27,20,41,20
41,28,52,20,55,20,106,20,20,20,20,20,45,98,24,82,20,156,276,250,84,57,103,133,23,98,23,272,58,159,357,94,269,20,20,112,20,35,20,113,20
42,20,20,20,58,20,239,34,20,20,20,23,112,40,20,334,20,127,169,225,64,232,91,115,50,118,27,348,104,302,485,98,308,199,20,121,20,25,20,36,20
43,34,152,20,31,20,115,20,50,20,20,24,205,99,20,27,20,113,309,265,72,369,146,237,64,56,40,208,40,127,341,77,255,363,20,320,20,45,104,109,20
44,30,20,20,39,20,104,20,20,20,20,58,335,63,33,70,20,164,486,167,65,201,138,137,91,118,40,286,44,223,407,103,241,179,20,20,29,51,20,65,20
45,27,20,20,36,20,207,20,20,20,20,21,110,44,20,20,20,111,177,93,85,82,125,117,54,98,30,317,98,277,487,95,312,175,20,47,20,33,20,42,20
46,20,30,20,47,20,235,23,20,20,20,28,20,84,62,43,20,216,222,267,97,127,85,364,53,123,32,278,79,281,527,92,204,237,20,105,20,28,20,38,20
47,37,86,20,22,20,40,147,41,20,20,20,204,194,20,20,20,140,607,452,151,198,64,316,158,26,20,138,20,69,236,42,167,951,88,721,189,115,154,305,46
48,102,20,35,20,20,181,20,25,20,20,20,322,20,20,20,20,143,108,275,116,280,102,534,138,20,20,157,20,122,180,45,213,1610,149,1132,209,238,451,461,162
49,49,83,20,26,20,195,20,88,20,20,20,20,20,20,20,20,144,211,395,142,173,109,59,114,43,20,144,35,77,219,46,214,1534,108,924,166,236,417,516,54
50,49,20,22,37,20,20,20,93,20,20,20,20,20,20,20,20,90,455,508,256,120,132,92,164,25,20,164,20,60,322,35,111,818,74,881,174,232,20,160,20
51,30,24,20,20,20,23,20,54,20,20,26,20,20,20,20,20,254,261,515,143,106,110,60,91,20,20,116,26,81,279,38,98,2096,112,754,279,133,448,283,62
52,83,72,34,39,30,112,77,156,20,20,60,120,20,20,20,20,229,54,404,180,168,75,180,138,20,20,93,20,65,152,27,118,1019,122,1029,171,99,290,192,121
53,23,292,20,26,30,240,20,186,33,22,20,158,20,26,20,20,97,71,187,166,100,56,122,46,20,22,94,50,166,238,49,124,1717,174,739,38,86,197,235,108
54,184,462,83,182,27,443,297,221,20,20,20,20,20,20,21,20,231,75,263,167,437,71,217,108,31,20,143,37,128,283,30,133,196,24,154,20,29,20,65,20
55,158,952,85,223,41,440,207,163,25,20,20,20,33,36,20,20,157,46,226,142,212,92,210,73,27,20,107,28,91,238,36,127,125,20,73,20,25,20,59,20
56,176,621,155,183,37,639,370,233,20,20,20,29,62,20,20,20,203,114,288,165,512,76,252,102,29,21,108,31,104,190,34,119,337,32,416,38,58,75,158,22
57,93,480,82,82,39,182,336,85,20,20,22,83,23,20,20,20,199,191,428,188,319,114,298,72,20,20,120,20,67,213,35,151,526,74,605,40,94,51,159,20
58,74,172,66,56,47,156,162,86,20,20,20,62,27,20,20,20,180,434,608,209,205,129,440,98,22,20,100,20,50,191,35,137,441,108,458,57,52,97,149,20
59,148,141,89,77,26,632,255,204,20,20,20,20,26,20,20,20,198,155,381,191,348,87,282,25,20,20,170,20,87,296,35,151,239,61,120,20,20,20,84,20
60,112,260,20,66,54,384,63,491,22,20,20,257,24,20,20,20,94,176,193,138,101,63,230,80,26,21,100,23,104,251,31,102,975,113,306,22,74,138,263,31
61,103,395,180,152,20,470,80,136,26,20,31,285,114,49,99,20,184,323,329,217,183,112,491,69,20,20,129,20,88,251,38,165,297,43,237,48,56,23,121,20
62,137,503,166,82,26,350,323,520,20,20,20,341,141,20,20,20,220,49,226,141,264,130,407,97,20,20,96,20,84,203,36,148,227,23,353,97,57,86,117,44
63,56,510,43,60,36,263,150,322,44,34,20,381,89,62,30,28,144,320,287,170,287,95,395,103,24,20,94,20,101,173,31,94,645,59,580,60,109,177,201,80
64,39,95,33,29,20,165,81,86,155,128,261,924,329,169,564,95,201,335,301,221,202,87,375,46,35,20,111,31,127,303,39,193,157,20,375,45,94,20,121,20
65,39,148,74,27,20,275,211,95,92,63,175,1499,365,181,512,138,195,352,343,240,333,89,395,34,32,20,127,46,135,297,39,176,123,27,246,41,91,28,96,28
66,37,184,39,33,20,294,182,107,118,73,153,923,331,163,576,94,177,329,277,199,265,74,396,43,44,21,132,27,142,269,42,185,144,20,257,41,100,47,105,34
67,39,147,20,25,20,178,84,76,115,102,192,1358,396,138,689,62,199,313,256,243,271,66,286,38,32,23,101,25,98,233,39,173,166,37,292,24,85,29,102,20
68,41,147,21,28,20,190,76,94,102,94,185,1081,314,120,342,158,190,287,271,237,240,80,522,51,30,20,125,22,139,296,48,180,149,20,259,20,70,20,113,20
69,45,160,26,21,20,297,179,64,119,92,121,1120,293,221,394,179,203,269,228,209,229,78,374,54,34,20,124,59,152,329,54,139,121,20,263,35,73,20,79,33
EPD_T,12.711130572248482,11.80371653941342,10.489253069217572,10.232887293010236,9.520901997654287,9.391944471090882,9.19197124472467,9.016083564117968,0.7052301650249635,0.8136963924219928,1.1776218571622117,0.13529835108338048,0.19854418282876704,0.7205008362544325,1.1284844732132036,0.8895345630080268,4.088469555026475,4.044659480841546,2.9363575028704476,4.191485247613384,5.932262248147884,3.121023560810498,4.75945704619407,2.9517924193413743,1.5878959884772263,1.1468348338125554,2.8225580342096848,1.3722982804178536,1.2479660407417412,2.5088039555910866,3.6379171679783044,1.7011007409773342,0.3427708492943491,1.8874575597964833,0.6883000132950851,0.6486967046390624,0.2811774589556673,0.12698196894181735,0.7822256386043607,0.18542837170059348
JPA_T,0.21974045021354652,0.6237465619678247,0.1903553850663686,1.0374672893997634,1.1248887234138831,1.8492138083157612,2.0138474700494755,0.4142741893289623,30.130451047298486,25.985897061072464,23.931442475208197,22.48353088514614,21.254929836894803,20.87737082139587,20.243179577399285,19.35373315905284,3.5558885269105738,1.9093108049541476,2.627466707182572,5.708827205459118,3.159949367858882,3.100141990738162,5.021527749425064,3.024784980389855,0.12614366985465747,0.5520182190723057,1.9079530745942421,0.5536322720022162,1.0895163852126348,0.2852561211965089,1.3122310781736568,0.7209076024442439,1.3337073642754407,0.9576965498623948,0.04175875054794519,0.8620720215740634,1.7129541175321388,1.0465470288771388,0.430253825715343,0.25854164052848855
MED_T,5.326990759530301,5.1711242607339996,4.021576026877472,3.5077528090220143,3.237231986982671,7.416115880282749,4.703283808233178,4.724430005940995,3.174608639998446,3.0510650130442882,3.02626610710583,4.602915563327322,4.571796333593478,2.9641189051311234,3.16559365282202,2.8494537268340174,10.976900168041919,10.791074972558896,10.455894927511723,10.42174310254906,9.91990075435085,9.582955538720874,9.550868743062102,9.19959313379415,2.6164075284428194,2.441858856054896,0.2521024775457353,2.772872996653187,2.9591239469041275,0.947073959827154,0.6462160449193475,2.5913452461028053,3.23470231973796,4.4318569163336266,3.657598508678283,1.9850458790742576,5.046123384719875,2.7711131404502516,3.1292999866831086,3.30234644918833
MGL_T,1.1864824566292582,0.9501284214231107,1.0793123941038767,0.07611032136044323,1.2269289340625475,0.3969062505774132,1.5390464879200016,1.3392495050244855,0.9441426984595065,0.847023343620356,0.5678079527758677,0.09903600125468809,0.15018093918564343,0.6050773177911276,0.15223725259198173,0.7968058542535348,1.5511805394964322,2.3529127601778184,3.871155138686009,0.887210809514615,1.008062319035941,1.5736932417406684,0.45685071309679137,2.879602853941006,15.10815238395816,10.908129007850295,8.861466187511246,8.691536517256193,8.673102774403443,8.520317930500864,8.4631144814338,8.318314401884725,1.1159189285894313,1.3747602068929519,1.8589126618421765,1.638156901497055,1.0599263577333484,1.0049891214294153,1.7455068264646498,0.9402236543289313
RHB_T,0.6883506346264271,0.3013629724018053,0.7077516522582243,1.1330220769052408,0.04078617437222828,0.25099100062703084,0.7472629646053598,0.5892574458722647,0.7582212436243607,0.8093770819078945,0.6438992991372293,0.334217317575136,0.49480358615596454,1.1056287433106153,1.0926724128343774,0.7968058542535348,1.9985616978977419,2.6059417948582113,1.552867887427068,2.897612002795685,1.0218517681073045,2.7044290416099592,0.9632649001550653,1.4614434814342747,1.181920948265848,0.8717445551651436,1.6115219680254398,0.5857307885524667,0.9596870783077682,1.8747266585388924,1.9057721199071875,0.5072931644512351,12.66302364217869,10.685778012143398,10.506268010904432,9.975767585652905,9.53776693710213,9.243059060171658,8.81905751545363,8.781017565060685
Class,EPD,EPD,EPD,EPD,EPD,EPD,EPD,EPD,JPA,JPA,JPA,JPA,JPA,JPA,JPA,JPA,MED,MED,MED,MED,MED,MED,MED,MED,MGL,MGL,MGL,MGL,MGL,MGL,MGL,MGL,RHB,RHB,RHB,RHB,RHB,RHB,RHB,RHB
